,B0,E,Eh,El,Th,Tl,aic,bic,chisqr,id
0,,,,,,,,,,146
0,,,,,,,,,,147
0,,,,,,,,,,148
0,,,,,,,,,,149
0,,,,,,,,,,150
0,,,,,,,,,,151
0,9.597010422042644e-09,0.7277900121787991,40.01187616236539,5.102782665831716,40.01187616236539,40.01187616236539,-25.91618786257311,-24.732840398555794,0.13322908549085039,152
0,,,,,,,,,,153
0,4.35651635819459e-06,21.231607948067364,23.692481329309437,20.520795657999052,23.692481329309437,23.692481329309437,-28.840428598222545,-28.36377934814353,0.04852811136887565,154
0,,,,,,,,,,155
0,7.906706939751091e-09,0.9030976560604649,17.520847091411124,7.180968107407247,17.520847091411124,17.520847091411124,-16.269159913141284,-15.085812449123967,0.38914891613553965,156
0,9.588166223941743e-09,3.040642514260129,12.769007818615194,2.977586523032463,12.769007818615194,12.769007818615194,-31.191381468367986,-30.00803400435067,0.07413868574829442,157
0,,,,,,,,,,158
0,,,,,,,,,,159
0,1.64553995017232e-08,3.3308632034414125,14.617714220661663,2.974820576336888,14.617714220661663,14.617714220661663,-50.228267278190394,-49.75161802811138,0.003349005415592258,160
0,5.308648141424585e-08,4.546372030464558,14.395541392682162,4.095171887640492,14.395541392682162,14.395541392682162,-33.46328121801572,-32.27993375399841,0.057598940038763265,161
0,4.675385486517085e-08,0.7269485705234926,5.158692113622343,-5.941349584855859e-05,5.158692113622343,5.158692113622343,-1.9817364875902044,-0.7983890235728879,1.9035076218136948,162
0,,,,,,,,,,163
0,,,,,,,,,,164
0,,,,,,,,,,165
0,,,,,,,,,,166
0,,,,,,,,,,167
0,,,,,,,,,,168
0,,,,,,,,,,169
0,,,,,,,,,,170
0,,,,,,,,,,171
0,9.670881088415037e-09,1.5988990813116033,-21.85313226391947,2.623229732533337,-21.85313226391947,-21.85313226391947,-22.6890262479468,-21.505678783929483,0.19068895763409324,172
0,,,,,,,,,,173
0,,,,,,,,,,174
0,,,,,,,,,,175
0,,,,,,,,,,176
0,,,,,,,,,,177
0,,,,,,,,,,178
0,,,,,,,,,,179
0,,,,,,,,,,180
0,,,,,,,,,,181
0,,,,,,,,,,182
0,,,,,,,,,,183
0,1.843933475204014e-08,1.735113606833797,10.515599183418804,1.568522753070716,10.515599183418804,10.515599183418804,-34.556030565953364,-33.37268310193605,0.05101336061264615,184
0,,,,,,,,,,185
0,,,,,,,,,,186
0,,,,,,,,,,187
0,,,,,,,,,,190
0,,,,,,,,,,191
0,,,,,,,,,,192
0,,,,,,,,,,193
0,,,,,,,,,,195
0,,,,,,,,,,196
0,,,,,,,,,,197
0,,,,,,,,,,198
0,0.032372301622552994,5.104928119459686,3.5887741714272647,5.065260128050345,3.5887741714272647,3.5887741714272647,-8.585489659564242,-8.910028765232363,0.36977000008394556,199
0,,,,,,,,,,200
0,,,,,,,,,,201
0,6.986691827471957e-05,-0.1617701201485133,-0.8536168606701011,2.762674889790054,-0.8536168606701011,-0.8536168606701011,-102.57216460421266,-98.3238633975994,0.0072258232571742265,202
0,5.4906710812854326e-06,0.6432874134811895,0.000453827837870909,0.6748204115762201,0.000453827837870909,0.000453827837870909,-30.011514078686858,-28.82816661466954,0.08452385883410826,203
0,,,,,,,,,,204
0,1.485998788698985e-06,0.2841721242777329,-1.4184442126402377,-0.00012265781551671606,-1.4184442126402377,-1.4184442126402377,-24.788936417527154,-26.038379602158823,0.01304004940592163,205
0,4.896356091224549e-06,0.7480756656613551,15.902413699900617,0.9894613469435538,15.902413699900617,15.902413699900617,-22.334479240065576,-22.6590183457337,0.051869960265027035,206
0,,,,,,,,,,207
0,2.161962188170024e-06,-0.053425143633671394,-2.491667773485496,18.25125243556051,-2.491667773485496,-2.491667773485496,-39.23737233300927,-40.486815517640935,0.0011734553566842571,208
0,,,,,,,,,,209
0,,,,,,,,,,210
0,,,,,,,,,,211
0,,,,,,,,,,212
0,,,,,,,,,,213
0,,,,,,,,,,214
0,,,,,,,,,,215
0,0.9391525636571171,0.4065446908993069,-6.387556556803454,6.984794868702035,-6.387556556803454,-6.387556556803454,-18.19993225829193,-18.524471363960053,0.09363360914912326,216
0,,,,,,,,,,217
0,,,,,,,,,,219
0,,,,,,,,,,220
0,,,,,,,,,,221
0,,,,,,,,,,222
0,,,,,,,,,,223
0,,,,,,,,,,224
0,,,,,,,,,,225
0,33.108061178298456,3.28474636797589,28.763886782364537,3.4286251255511058,28.763886782364537,28.763886782364537,-20.66769217415667,-20.992231279824793,0.0658152951429886,226
0,,,,,,,,,,227
0,4.908535148973537,0.26626965932959,-4.9751321093108505,3.776766523594163e-06,-4.9751321093108505,-4.9751321093108505,-11.654970015569848,-11.97950912123797,0.23850350285455973,228
0,,,,,,,,,,229
0,5.703298023660724,0.17025396324038167,3.0316827958755788,0.0001885938345825573,3.0316827958755788,3.0316827958755788,-0.4565866750104881,-0.7811257806786092,1.1810427880457544,231
0,,,,,,,,,,232
0,,,,,,,,,,234
0,5.119008999289399e-05,1.9930568882385884,1.721359004815836,3.6912681745603195,1.721359004815836,1.721359004815836,-370.7435641242768,-371.9930073089085,1.1864468014524018e-27,243
0,1.3621810392655308e-06,0.4651880042646899,1.8022479506550275,-17.843865900990036,1.8022479506550275,1.8022479506550275,-21.65291258213935,-22.90235576677102,0.021992379005858383,244
0,1.1357807975885518e+24,35.51297887558017,34.22210721829459,35.71668114836377,34.22210721829459,34.22210721829459,-41.56042325412457,-41.08377400404556,0.009896131407938767,245
0,0.00026856442676451907,2.423463190752428,2.942946753379976,2.1894209704120997,2.942946753379976,2.942946753379976,-56.13483760341681,-56.459376709084935,0.0004148315266636402,250
0,,,,,,,,,,256
0,,,,,,,,,,257
0,0.0003264834693430903,2.536825831140316,2.505562359058792,14.988841688535075,2.505562359058792,2.505562359058792,-34.7453167763984,-35.99475996103007,0.002480917915242005,259
0,7.543695619263238e-06,-0.16706146918732812,4.652920241055556,-1.5843448403339304,4.652920241055556,4.652920241055556,-47.67659793234475,-47.199948682265735,0.004607208209616403,261
0,,,,,,,,,,262
0,,,,,,,,,,264
0,0.0007872040536840671,2.9370219025752426,5.098415332267859,2.898534416547223,5.098415332267859,5.098415332267859,-384.33972910783825,-385.5891722924699,1.2306230121447784e-28,265
0,,,,,,,,,,266
0,,,,,,,,,,268
0,4.445700910067749e-06,1.069956772948776,1.8472832260041951,7.149891114036159e-05,1.8472832260041951,1.8472832260041951,-18.696565994473943,-18.21991674439493,0.17245323035846127,269
0,4.839161398760524e-06,0.057736154060669814,1.5711941808178669,5.148831960338682e-06,1.5711941808178669,1.5711941808178669,-22.611984270802566,-22.93652337647069,0.04985387599248345,270
0,,,,,,,,,,291
0,,,,,,,,,,292
0,2.618116456763638e-06,0.07525008280202529,-0.0006378439648611886,-4.658880281537209e-06,-0.0006378439648611886,-0.0006378439648611886,3.607786671269025,2.358343486637356,1.4815031996603534,293
0,,,,,,,,,,294
0,,,,,,,,,,295
0,0.0001718438596736185,3.4293000534190945,4.933520827728802,3.147282882432327,4.933520827728802,4.933520827728802,-41.793649203883746,-42.11818830955187,0.003218316506961399,297
0,,,,,,,,,,299
0,,,,,,,,,,301
0,,,,,,,,,,302
0,,,,,,,,,,303
0,1.3506944991859811e-05,0.276320865650695,3.180395144213288,-4.469451151916807,3.180395144213288,3.180395144213288,-40.129217795044426,-40.45375690071255,0.004082192879350742,322
0,,,,,,,,,,323
0,,,,,,,,,,324
0,,,,,,,,,,325
0,,,,,,,,,,326
0,,,,,,,,,,327
0,,,,,,,,,,328
0,,,,,,,,,,329
0,,,,,,,,,,330
0,,,,,,,,,,331
0,,,,,,,,,,332
0,,,,,,,,,,333
0,,,,,,,,,,334
0,,,,,,,,,,335
0,,,,,,,,,,336
0,,,,,,,,,,337
0,4.097714554374952e-06,0.471220700420817,6.951088211469441,-9.601490993336925e-06,6.951088211469441,6.951088211469441,-39.851677117345915,-36.01733313965437,0.3448540851354113,338
