,B0,E,Eh,Newid,Th,aic,bic,chisqr
0,1.6328474128357584e-09,1.5452245119905759,4.463047730633153,85,301.46502720308206,-15.536348122983537,-14.747449813638658,0.6584114664735279
0,8.883497049083644e-09,1.1431649049781694,3.863691794369683,86,299.7389542741614,-27.369183667961863,-27.58554307174061,0.04474254792521505
0,5.671588976241537e-09,1.1105394814253478,7.867610467031232,87,301.50538324146396,-14.298353479028968,-13.980587312309625,0.4927010673043693
0,8.486827018927556e-09,1.275264035307095,3.7118100930335336,88,298.09838126540376,-18.680493058426972,-18.36272689170763,0.28489913016024293
0,8.217790004039216e-09,1.0542453132503082,5.012731965796811,89,300.54100315273706,-16.801061379509832,-16.483295212790487,0.36034580801978733
0,6.450174172556444e-09,1.2143389074614945,4.123022390545472,90,299.2888567469985,-14.770144025176656,-14.452377858457313,0.4644847921756926
0,1.192359366797291e-08,0.67850086304198,5.430715555671199,91,302.07341056925895,-39.484549069646974,-39.70090847342572,0.007926078652621708
0,7.007712632400853e-09,1.2892593879730838,3.709859878321237,92,298.6266878689172,-19.970064271175172,-19.65229810445583,0.24248474150404298
0,1.5738898406780777e-08,0.8329914478758753,5.707970948028806,93,297.6855162094003,-22.130124257318148,-22.346483661096894,0.09457204856715798
0,2.3740605481492594e-08,0.27448373823948624,14.406303768815233,94,302.2031358116469,-8.06405270772975,-7.746286541010408,1.0740482850397082
0,1.7137687491342035e-08,0.7027281582594456,6.593179418865684,95,298.8092774021592,-29.81509861671556,-30.031458020494306,0.031547945966418314
0,9.508370757416174e-09,1.148529590717057,3.4095732711161215,96,297.5501678918298,-20.24739490893362,-21.080357032021404,0.054142290849115766
0,1.5879007886354657e-08,0.7645661918096716,4.523043509085809,97,297.931869399178,-24.748331670379166,-24.964691074157912,0.06506145809055869
0,1.74105352357401e-08,0.6934259922965507,6.536842492849353,98,298.1233218172839,-22.069083897121555,-22.2854433009003,0.0954003277671732
0,1.518062475724946e-08,0.9823038898613154,6.092454577654031,99,298.1342241554866,-26.372286291557693,-26.58864569533644,0.051590565414084424
0,1.6603721952890282e-08,0.6010032142577619,15.155510706874235,100,300.10614838345623,-12.427520174504437,-12.643879578283183,0.37820949446208907
0,1.5886053805758138e-08,0.7461329600779005,5.945487314035042,101,298.16959404534924,-21.50523226399528,-21.721591667774025,0.10340282134806139
0,1.2287192152626858e-08,1.2928732623074262,4.541489812010182,102,296.8391865480803,-7.042554129477189,-7.875516252564969,0.4890292938465784
0,9.891385710503187e-09,0.7824300989334991,5.259176081473585,103,302.8095068671366,-16.027296853406884,-15.709530686687541,0.39693983257947596
0,6.229288418424517e-09,1.3258356068856467,3.294178305810422,104,298.642227335816,-19.777881818180365,-19.460115651461024,0.24838043761354212
0,7.241360622245452e-09,1.223847257439317,3.965013938904532,105,299.526180479446,-20.703963540063654,-20.38619737334431,0.22122966679073108
0,7.41143391103094e-09,1.170119807176781,2.9433398365221706,106,299.0552505877318,-19.10107939951997,-18.78331323280063,0.27030795840857397
0,7.85064302455396e-09,1.3923280717492141,2.5779659501003094,107,296.37081275255844,-18.908273831076052,-18.590507664356707,0.2769017061524487
0,7.2972752285238585e-09,1.3649418334921033,2.5331619686314784,108,296.67723287773345,-19.309767913592424,-18.99200174687308,0.26334786306392294
0,7.0365271387373696e-09,1.47258915674094,2.707594006262508,109,296.29980396978624,-28.180385601876417,-27.86261943515707,0.08689049263088174
0,7.860623041366921e-09,1.0592209052381278,3.7331919860656955,110,300.5635733294409,-17.395109107262908,-17.077342940543566,0.33455730565657527
0,9.73114189228852e-09,0.8119865250509508,7.0957408453577155,111,302.242183425092,-15.026625613146898,-14.708859446427555,0.44982949862337107
0,1.3336680426689895e-08,0.6478105862192398,5.829050045947104,112,302.67308082368396,-22.92802778550875,-23.144387189287496,0.08438382568160867
0,7.552002134758595e-09,1.242352612597776,4.152032870036983,113,299.36971236327236,-17.387191878073715,-16.598293568728835,0.5360249769404506
0,1.0385194038065038e-08,0.7073676577843819,10.677351373575695,114,303.59173814371246,-13.114130258232784,-12.325231948887906,0.8617501532057251
0,9.026545289003707e-09,1.2874929744224852,3.5562840797790214,115,298.2366292351995,-16.188853496011266,-15.871087329291923,0.3890041973490289
0,7.689874070848646e-09,1.0171670710565452,6.067794839267455,116,301.38823113003536,-19.100701902646286,-18.78293573592694,0.2703207137606696
0,6.213915604291742e-09,1.1936599582710983,4.381636724663674,117,300.047211056143,-17.35421822238993,-17.036452055670587,0.3362717264691273
0,8.173957954937805e-09,0.9271861712158405,5.296923379364577,118,301.7386629149065,-18.058619287812903,-17.740853121093558,0.30792905319966757
0,4.395984909422168e-09,1.3006707737146601,7.349881428043217,119,301.3857269233665,-2.119187428479197,-1.8014212617598542,2.2581437203858536
0,7.430460913226966e-09,1.050727085696284,6.60816494677991,120,301.81628739373934,-14.033522984721792,-13.715756818002449,0.5092843207691843
0,9.092383290720818e-09,0.902261317251897,5.806233275617009,121,301.33540945617244,-20.497468947650603,-20.179702780931258,0.22701434338554027
0,7.500349230582515e-09,1.1459707714782317,3.513527668858985,122,299.95956852888077,-19.66370943234451,-19.345943265625166,0.2519506264725143
0,1.7702063592750505e-08,0.5941066992417727,5.551410961700844,123,301.30651418095755,-40.72082570249845,-40.40305953577911,0.018121400861242837
0,7.939094937015057e-09,0.8558365373404546,7.880470375401655,124,303.5784630403467,-26.481635924663316,-25.692737615318435,0.19513409244455887
0,4.5771235690494905e-09,1.0299049435140955,10.180532134184764,125,303.54023294620043,-25.648923445085707,-24.860025135740827,0.21405020378665876
0,1.561776219460853e-08,0.675798614660156,5.899663726728135,126,300.86763126924546,-24.79562846089494,-24.00673015155006,0.23533761399523237
0,1.1311342751341158e-08,0.6637518915325067,14.586120575802962,127,300.82953991528484,-16.29360459065825,-16.509963994436998,0.21770707934342742
0,1.1835911806201693e-08,0.6479588295419805,15.573263786128841,128,304.64195709607134,-11.005082684557259,-10.21618437521238,1.0893146352689265
0,9.111398524552783e-09,0.7730740175869235,8.603281895421622,129,304.11116150575435,-20.249793293725652,-19.460894984380772,0.38998720652098284
0,5.787840873239247e-09,0.9622854964946155,6.933704291662764,130,302.4265117298652,-16.24104113555233,-15.452142826207451,0.60882498244372
0,4.48618098225495e-09,7.896479061433208,7.9420659660995785,131,284.9535504199125,-11.706809353563639,-11.389043186844296,0.6811929855003587
0,9.675732215441712e-09,0.8470520338222869,8.024507932979056,132,303.4394951878151,-13.110242327298181,-12.321344017953303,0.8621225030792503
0,5.46392753264513e-09,1.555909746750276,4.813728302329103,133,299.7140166061131,-10.648037613799964,-9.859139304455086,1.1333982242715703
0,1.1274492006663195e-08,0.8772827454474001,7.376057346878701,134,301.90145212918736,-4.100689243930789,-2.8903488719546058,2.981767270716724
0,1.3351143968165502e-08,0.4381170239846188,8.692402725027303,135,304.8618137620471,-18.370839848170952,-17.581941538826072,0.4805284999942954
0,1.1502257812878725e-08,0.6761281843389677,9.208281235422184,136,303.90031656350675,-18.055878587879025,-17.26698027853415,0.49764264317043294
0,2.2156315893084866e-08,0.4089171494060275,7.136535955494249,137,301.99092805396566,-22.244791223059377,-21.927025056340035,0.1824722155333724
0,1.3398410159126684e-08,0.6204790424730564,11.08143335996222,138,304.7719754038963,-17.72276178863084,-16.93386347928596,0.5164069994180681
0,9.265727074492247e-09,0.6873788875303781,14.331230748561849,139,303.9988739560393,-18.969448814503995,-18.18055050515912,0.4496072538622485
0,1.236810165394786e-08,0.9031156978965653,6.006817501780925,140,301.19126187141995,-25.232687866625326,-24.91492169990598,0.1256010780670701
0,9.935198219679364e-09,0.9320285983960175,5.9721220368739205,141,302.43807202982924,-14.217369533778587,-13.428471224433709,0.7623328272199421
0,1.1579647463122456e-08,0.6424216996916281,9.2676498790239,142,304.84444427468776,-25.488054494169887,-24.699156184825007,0.2179106055755364
0,9.761285335585512e-09,0.9541614355132115,5.316828833012582,143,302.27077958116377,-14.841891369462715,-14.052993060117837,0.7112271983573083
0,1.0663578242642302e-08,0.8019845875576415,5.090268211147564,144,301.4691811628321,-22.151013681982093,-21.833247515262748,0.18462377585956583
0,9.291969860214522e-09,0.834978423171328,7.937885714835083,145,303.6132199995136,-10.328971078078819,-9.54007276873394,1.1743000116708548
0,3.572379503324896e-09,1.794696401444766,5.055284299856586,146,299.2339972858699,-3.819378090046012,-3.0304797807011337,2.4204666329386235
